id,company,company_logo,title,domain,city,state,location,type,stipend,duration,duration_months,skills,applications,rating,openings,posted_date,deadline,description,demand_score,growth_trend
7725,Postman,🟠,Data Science Intern,Data Science,Dehradun,Uttarakhand,"Dehradun, Uttarakhand",Remote,18000,6 Months,6,SQL|Python|Power BI|Pandas|Machine Learning|Seaborn,433,3.7,1,2025-04-19,2025-06-19,"Exciting Data Science Intern opportunity at Postman in the Data Science domain. Work with cutting-edge technology in Dehradun and gain hands-on experience with SQL, Python, Power BI.",37.9,4.7
7726,Notion India,⚫,Game Designer Intern,Game Development,Chandigarh,Punjab,"Chandigarh, Punjab",Hybrid,18000,4 Months,4,Unity|Three.js|C#|Python|Jenkins|API Design,883,4.1,8,2025-09-21,2025-11-21,"Exciting Game Designer Intern opportunity at Notion India in the Game Development domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with Unity, Three.js, C#.",34.0,31.7
7727,Slack India,💜,Chip Design Intern,Embedded Systems,Nagpur,Maharashtra,"Nagpur, Maharashtra",On-site,100000,1 Month,1,Raspberry Pi|Arduino|Linux|MQTT|D3.js|GCP,360,4.3,15,2025-09-07,2025-11-07,"Exciting Chip Design Intern opportunity at Slack India in the Embedded Systems domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with Raspberry Pi, Arduino, Linux.",55.5,-4.7
7728,Figma India,🔴,DeFi Engineer Intern,Blockchain,Jaipur,Rajasthan,"Jaipur, Rajasthan",Hybrid,12000,5 Months,5,Solidity|Ethereum|Web3.js|Hardhat|Seaborn|Unreal Engine,343,4.0,9,2025-02-19,2025-04-19,"Exciting DeFi Engineer Intern opportunity at Figma India in the Blockchain domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with Solidity, Ethereum, Web3.js.",28.4,3.9
7729,Canva India,🔵,Azure Engineer Intern,Cloud Computing,Guwahati,Assam,"Guwahati, Assam",Hybrid,28000,6 Months,6,GCP|Kubernetes|AWS|Linux|Ethereum|Rust,771,4.0,8,2025-08-02,2025-10-02,"Exciting Azure Engineer Intern opportunity at Canva India in the Cloud Computing domain. Work with cutting-edge technology in Guwahati and gain hands-on experience with GCP, Kubernetes, AWS.",35.0,-0.6
7730,Stripe India,💙,NLP Engineer Intern,Natural Language Processing,Pune,Maharashtra,"Pune, Maharashtra",On-site,25000,3 Months,3,Python|GPT|TensorFlow|LangChain|Material UI|Firebase,1219,4.2,4,2025-02-17,2025-04-17,"Exciting NLP Engineer Intern opportunity at Stripe India in the Natural Language Processing domain. Work with cutting-edge technology in Pune and gain hands-on experience with Python, GPT, TensorFlow.",37.6,24.4
7731,Twilio India,🔴,Data Warehouse Intern,Database Administration,Mumbai,Maharashtra,"Mumbai, Maharashtra",Remote,8000,3 Months,3,SQL|Elasticsearch|MongoDB|Redis|Scikit-learn|Flutter,1320,3.7,3,2025-08-19,2025-10-19,"Exciting Data Warehouse Intern opportunity at Twilio India in the Database Administration domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with SQL, Elasticsearch, MongoDB.",36.6,-6.0
7732,Spotify India,🟢,Backend Developer Intern,Backend Development,Nagpur,Maharashtra,"Nagpur, Maharashtra",On-site,100000,4 Months,4,REST APIs|Node.js|MongoDB|Java|Socket.io|TypeScript,2350,3.8,4,2025-02-04,2025-04-04,"Exciting Backend Developer Intern opportunity at Spotify India in the Backend Development domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with REST APIs, Node.js, MongoDB.",68.4,27.7
7733,Netflix India,🔴,Perception Engineer Intern,Computer Vision,Kochi,Kerala,"Kochi, Kerala",Remote,60000,2 Months,2,OpenCV|PyTorch|Deep Learning|TensorFlow|Content Writing|Express.js,856,3.5,3,2025-04-25,2025-06-25,"Exciting Perception Engineer Intern opportunity at Netflix India in the Computer Vision domain. Work with cutting-edge technology in Kochi and gain hands-on experience with OpenCV, PyTorch, Deep Learning.",49.9,28.4
7734,Twitter India,🔵,Image Processing Intern,Computer Vision,Delhi NCR,Delhi,"Delhi NCR, Delhi",On-site,28000,5 Months,5,PyTorch|Computer Vision|Deep Learning|OpenCV|Figma|Jetpack Compose,1031,4.2,18,2025-07-02,2025-09-02,"Exciting Image Processing Intern opportunity at Twitter India in the Computer Vision domain. Work with cutting-edge technology in Delhi NCR and gain hands-on experience with PyTorch, Computer Vision, Deep Learning.",36.1,16.5
7735,Meta India,🔵,Product Designer Intern,UI/UX Design,Kochi,Kerala,"Kochi, Kerala",Remote,12000,6 Months,6,HTML/CSS|Tailwind CSS|Material UI|Adobe XD|PostgreSQL|Xamarin,197,3.6,2,2025-12-17,2025-12-17,"Exciting Product Designer Intern opportunity at Meta India in the UI/UX Design domain. Work with cutting-edge technology in Kochi and gain hands-on experience with HTML/CSS, Tailwind CSS, Material UI.",32.9,1.4
7736,Apple India,⚫,ROS Developer Intern,Robotics,Bangalore,Karnataka,"Bangalore, Karnataka",Remote,20000,4 Months,4,Arduino|ROS|Python|Computer Vision|Deep Learning|Blockchain,428,3.9,4,2025-10-12,2025-12-12,"Exciting ROS Developer Intern opportunity at Apple India in the Robotics domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with Arduino, ROS, Python.",35.7,-6.1
7737,Nvidia India,🟢,Analytics Engineer Intern,Data Science,Gurgaon,Haryana,"Gurgaon, Haryana",Remote,75000,6 Months,6,Power BI|Tableau|SQL|Python|Azure|Plotly,259,4.4,17,2025-04-18,2025-06-18,"Exciting Analytics Engineer Intern opportunity at Nvidia India in the Data Science domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Power BI, Tableau, SQL.",54.5,2.5
7738,Qualcomm India,🔵,Web Developer Intern,Web Development,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh",On-site,60000,5 Months,5,REST APIs|Git|TypeScript|HTML/CSS|Agile|Arduino,362,3.6,6,2025-06-23,2025-08-23,"Exciting Web Developer Intern opportunity at Qualcomm India in the Web Development domain. Work with cutting-edge technology in Bhopal and gain hands-on experience with REST APIs, Git, TypeScript.",42.8,25.3
7739,Texas Instruments,🔴,MEAN Stack Intern,Full Stack Development,Vadodara,Gujarat,"Vadodara, Gujarat",Remote,18000,2 Months,2,JavaScript|Docker|React|Node.js|MQTT|Agile,288,4.1,9,2025-03-17,2025-05-17,"Exciting MEAN Stack Intern opportunity at Texas Instruments in the Full Stack Development domain. Work with cutting-edge technology in Vadodara and gain hands-on experience with JavaScript, Docker, React.",38.7,34.3
7740,Bosch India,🔴,Business Analyst Intern,Product Management,Raipur,Chhattisgarh,"Raipur, Chhattisgarh",Hybrid,7000,6 Months,6,Figma|Agile|JIRA|Tableau|BigQuery|Git,90,4.3,5,2025-04-26,2025-06-26,"Exciting Business Analyst Intern opportunity at Bosch India in the Product Management domain. Work with cutting-edge technology in Raipur and gain hands-on experience with Figma, Agile, JIRA.",25.5,-5.9
7741,Siemens India,🔷,Content Marketing Intern,Digital Marketing,Mysore,Karnataka,"Mysore, Karnataka",Remote,75000,6 Months,6,Content Writing|SEO|Excel|Google Analytics|Firebase|Selenium,649,3.5,5,2025-04-28,2025-06-28,"Exciting Content Marketing Intern opportunity at Siemens India in the Digital Marketing domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Content Writing, SEO, Excel.",52.6,7.0
7742,ABB India,🔴,Content Developer Intern,Technical Writing,Raipur,Chhattisgarh,"Raipur, Chhattisgarh",Remote,80000,5 Months,5,API Design|Content Writing|Git|HTML/CSS|ROS|Snowflake,1030,3.6,1,2025-04-06,2025-06-06,"Exciting Content Developer Intern opportunity at ABB India in the Technical Writing domain. Work with cutting-edge technology in Raipur and gain hands-on experience with API Design, Content Writing, Git.",58.6,6.4
7743,Honeywell India,🟠,Product Designer Intern,UI/UX Design,Chandigarh,Punjab,"Chandigarh, Punjab",On-site,5000,5 Months,5,HTML/CSS|Figma|Material UI|Adobe XD|Tailwind CSS|Tableau,720,3.9,5,2025-05-13,2025-07-13,"Exciting Product Designer Intern opportunity at Honeywell India in the UI/UX Design domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with HTML/CSS, Figma, Material UI.",27.0,31.3
7744,L&T Infotech,🔵,Data Pipeline Intern,Big Data Engineering,Mumbai,Maharashtra,"Mumbai, Maharashtra",Hybrid,8000,6 Months,6,Kafka|Databricks|Hadoop|Airflow|Flask|Netlify,347,3.9,3,2025-12-12,2025-12-12,"Exciting Data Pipeline Intern opportunity at L&T Infotech in the Big Data Engineering domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with Kafka, Databricks, Hadoop.",26.2,15.0
7745,HCL Tech,🔵,SQL Developer Intern,Database Administration,Pune,Maharashtra,"Pune, Maharashtra",Remote,18000,5 Months,5,Redis|SQL|Python|MongoDB|SQLAlchemy|Adobe XD,407,3.8,17,2025-01-27,2025-03-27,"Exciting SQL Developer Intern opportunity at HCL Tech in the Database Administration domain. Work with cutting-edge technology in Pune and gain hands-on experience with Redis, SQL, Python.",35.4,27.6
7746,Tech Mahindra,🟣,AWS Solutions Intern,Cloud Computing,Chandigarh,Punjab,"Chandigarh, Punjab",Remote,12000,6 Months,6,AWS|GCP|Linux|Azure|BERT|Postman,397,5.0,7,2025-09-13,2025-11-13,"Exciting AWS Solutions Intern opportunity at Tech Mahindra in the Cloud Computing domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with AWS, GCP, Linux.",36.4,-6.9
7747,Mindtree,🟢,Business Intelligence Intern,Data Science,Hyderabad,Telangana,"Hyderabad, Telangana",Remote,10000,6 Months,6,NumPy|Scikit-learn|R|Tableau|Puppeteer|Pandas,287,5.0,2,2025-11-23,2025-12-23,"Exciting Business Intelligence Intern opportunity at Mindtree in the Data Science domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with NumPy, Scikit-learn, R.",37.9,-4.0
7748,Mphasis,🟣,3D Developer Intern,AR/VR Development,Chandigarh,Punjab,"Chandigarh, Punjab",Remote,18000,3 Months,3,OpenCV|Python|Unity|Unreal Engine|Django|Matplotlib,560,4.2,2,2025-09-05,2025-11-05,"Exciting 3D Developer Intern opportunity at Mphasis in the AR/VR Development domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with OpenCV, Python, Unity.",36.6,-0.2
7749,Persistent Systems,🔵,API Developer Intern,Backend Development,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",Remote,18000,6 Months,6,Node.js|PostgreSQL|MongoDB|Redis|Material UI|Elasticsearch,54,4.3,8,2025-04-15,2025-06-15,"Exciting API Developer Intern opportunity at Persistent Systems in the Backend Development domain. Work with cutting-edge technology in Ahmedabad and gain hands-on experience with Node.js, PostgreSQL, MongoDB.",33.5,14.2
7750,Zensar Tech,🔷,Frontend Developer Intern,Frontend Development,Mysore,Karnataka,"Mysore, Karnataka",On-site,18000,3 Months,3,Vue.js|React|HTML/CSS|Tailwind CSS|Kotlin|BERT,313,3.5,3,2025-11-24,2025-12-24,"Exciting Frontend Developer Intern opportunity at Zensar Tech in the Frontend Development domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Vue.js, React, HTML/CSS.",26.1,36.2
7751,KPIT Technologies,🟢,SRE Intern,DevOps,Hyderabad,Telangana,"Hyderabad, Telangana",Hybrid,22000,5 Months,5,Docker|Ansible|Jenkins|CI/CD|Swift|Plotly,80,4.4,5,2025-10-01,2025-12-01,"Exciting SRE Intern opportunity at KPIT Technologies in the DevOps domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with Docker, Ansible, Jenkins.",33.8,-7.8
7752,Cyient,🔵,Cloud Engineer Intern,Cloud Computing,Gurgaon,Haryana,"Gurgaon, Haryana",Hybrid,70000,6 Months,6,Azure|Docker|GCP|Terraform|PostgreSQL|RabbitMQ,234,3.6,2,2025-08-04,2025-10-04,"Exciting Cloud Engineer Intern opportunity at Cyient in the Cloud Computing domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Azure, Docker, GCP.",46.0,30.7
7753,Birlasoft,🔵,WordPress Developer Intern,Web Development,Pune,Maharashtra,"Pune, Maharashtra",On-site,60000,6 Months,6,TypeScript|REST APIs|HTML/CSS|Git|Three.js|Hadoop,1407,3.7,6,2025-11-27,2025-12-27,"Exciting WordPress Developer Intern opportunity at Birlasoft in the Web Development domain. Work with cutting-edge technology in Pune and gain hands-on experience with TypeScript, REST APIs, HTML/CSS.",48.2,13.6
7754,Hexaware,🔷,Video Analytics Intern,Computer Vision,Kochi,Kerala,"Kochi, Kerala",On-site,40000,5 Months,5,Computer Vision|Python|TensorFlow|OpenCV|JIRA|Pinecone,708,3.4,4,2025-04-05,2025-06-05,"Exciting Video Analytics Intern opportunity at Hexaware in the Computer Vision domain. Work with cutting-edge technology in Kochi and gain hands-on experience with Computer Vision, Python, TensorFlow.",36.0,13.6
7755,Coforge,🟢,iOS Developer Intern,Mobile Development,Gurgaon,Haryana,"Gurgaon, Haryana",On-site,45000,1 Month,1,Flutter|Swift|REST APIs|React Native|Raspberry Pi|LangChain,1889,4.4,1,2025-09-20,2025-11-20,"Exciting iOS Developer Intern opportunity at Coforge in the Mobile Development domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Flutter, Swift, REST APIs.",52.1,15.0
7756,Happiest Minds,🟣,ETL Developer Intern,Big Data Engineering,Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala",On-site,80000,4 Months,4,Spark|Databricks|Python|Kafka|Linux|React,815,3.6,11,2025-06-12,2025-08-12,"Exciting ETL Developer Intern opportunity at Happiest Minds in the Big Data Engineering domain. Work with cutting-edge technology in Thiruvananthapuram and gain hands-on experience with Spark, Databricks, Python.",48.3,34.8
7757,Mu Sigma,🔵,Technical Writer Intern,Technical Writing,Mysore,Karnataka,"Mysore, Karnataka",Hybrid,40000,1 Month,1,Content Writing|API Design|Swagger|Markdown|OpenCV|NLP,539,4.4,1,2025-03-15,2025-05-15,"Exciting Technical Writer Intern opportunity at Mu Sigma in the Technical Writing domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Content Writing, API Design, Swagger.",41.2,7.5
7758,Fractal Analytics,🟢,Data Platform Intern,Big Data Engineering,Mysore,Karnataka,"Mysore, Karnataka",On-site,80000,3 Months,3,SQL|Kafka|Airflow|Databricks|Vector Databases|Hugging Face,1028,4.3,13,2025-12-12,2025-12-12,"Exciting Data Platform Intern opportunity at Fractal Analytics in the Big Data Engineering domain. Work with cutting-edge technology in Mysore and gain hands-on experience with SQL, Kafka, Airflow.",52.9,1.3
7759,Tiger Analytics,🟠,Data Science Intern,Data Science,Mysore,Karnataka,"Mysore, Karnataka",Hybrid,45000,3 Months,3,R|Power BI|Pandas|Tableau|Truffle|TensorFlow,737,3.9,2,2025-11-11,2025-12-11,"Exciting Data Science Intern opportunity at Tiger Analytics in the Data Science domain. Work with cutting-edge technology in Mysore and gain hands-on experience with R, Power BI, Pandas.",43.6,-1.9
7760,AbsolutData,🔵,Backend Developer Intern,Backend Development,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",On-site,35000,6 Months,6,PostgreSQL|Redis|REST APIs|Python|Tableau|Deep Learning,137,3.9,4,2025-04-19,2025-06-19,"Exciting Backend Developer Intern opportunity at AbsolutData in the Backend Development domain. Work with cutting-edge technology in Indore and gain hands-on experience with PostgreSQL, Redis, REST APIs.",31.4,2.7
7761,LatentView,💜,Deep Learning Research Intern,Machine Learning,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",On-site,70000,3 Months,3,Pandas|TensorFlow|Deep Learning|NLP|Sass/LESS|Agile,107,3.8,4,2025-02-07,2025-04-07,"Exciting Deep Learning Research Intern opportunity at LatentView in the Machine Learning domain. Work with cutting-edge technology in Visakhapatnam and gain hands-on experience with Pandas, TensorFlow, Deep Learning.",40.1,17.4
7762,Razorpay,💙,API Docs Writer Intern,Technical Writing,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",Remote,45000,4 Months,4,Markdown|Git|Content Writing|HTML/CSS|PostgreSQL|Hadoop,716,3.3,7,2025-03-07,2025-05-07,"Exciting API Docs Writer Intern opportunity at Razorpay in the Technical Writing domain. Work with cutting-edge technology in Ahmedabad and gain hands-on experience with Markdown, Git, Content Writing.",42.3,9.5
7763,BrowserStack,🟠,MEAN Stack Intern,Full Stack Development,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",On-site,35000,6 Months,6,JavaScript|Node.js|TypeScript|PostgreSQL|Pytest|ROS,88,3.7,7,2025-10-22,2025-12-22,"Exciting MEAN Stack Intern opportunity at BrowserStack in the Full Stack Development domain. Work with cutting-edge technology in Visakhapatnam and gain hands-on experience with JavaScript, Node.js, TypeScript.",29.9,18.9
7764,Druva,🔵,NLP Engineer Intern,Natural Language Processing,Raipur,Chhattisgarh,"Raipur, Chhattisgarh",On-site,28000,1 Month,1,GPT|NLP|LangChain|BERT|Weaviate|Streamlit,251,4.0,15,2025-12-15,2025-12-15,"Exciting NLP Engineer Intern opportunity at Druva in the Natural Language Processing domain. Work with cutting-edge technology in Raipur and gain hands-on experience with GPT, NLP, LangChain.",33.8,30.0
7765,Icertis,🔵,Penetration Tester Intern,Cybersecurity,Mumbai,Maharashtra,"Mumbai, Maharashtra",Remote,6000,1 Month,1,Penetration Testing|Linux|Docker|SQL|Figma|Sequelize,583,4.7,7,2025-07-20,2025-09-20,"Exciting Penetration Tester Intern opportunity at Icertis in the Cybersecurity domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with Penetration Testing, Linux, Docker.",38.0,-1.8
7766,Darwinbox,🟢,SEO Specialist Intern,Digital Marketing,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",On-site,80000,6 Months,6,Social Media|Content Writing|Google Analytics|Excel|Azure|MongoDB,797,3.9,14,2025-02-10,2025-04-10,"Exciting SEO Specialist Intern opportunity at Darwinbox in the Digital Marketing domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with Social Media, Content Writing, Google Analytics.",49.3,-6.7
7767,Whatfix,💙,Strategy Analyst Intern,Business Analytics,Hyderabad,Telangana,"Hyderabad, Telangana",On-site,20000,1 Month,1,SQL|Excel|R|Tableau|Netlify|Django,488,3.8,10,2025-11-05,2025-12-05,"Exciting Strategy Analyst Intern opportunity at Whatfix in the Business Analytics domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with SQL, Excel, R.",28.8,21.7
7768,CleverTap,🟣,QA Engineer Intern,Quality Assurance,Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala",Hybrid,12000,5 Months,5,Selenium|Pytest|Cypress|Jest|R|Node.js,290,4.6,2,2025-04-05,2025-06-05,"Exciting QA Engineer Intern opportunity at CleverTap in the Quality Assurance domain. Work with cutting-edge technology in Thiruvananthapuram and gain hands-on experience with Selenium, Pytest, Cypress.",31.0,13.7
7769,MoEngage,🔵,DeFi Engineer Intern,Blockchain,Mumbai,Maharashtra,"Mumbai, Maharashtra",Remote,15000,2 Months,2,Python|Hardhat|Solidity|JavaScript|Selenium|Arduino,956,3.7,2,2025-11-18,2025-12-18,"Exciting DeFi Engineer Intern opportunity at MoEngage in the Blockchain domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with Python, Hardhat, Solidity.",36.1,31.4
7770,Chargebee,🟠,MLOps Intern,Machine Learning,Raipur,Chhattisgarh,"Raipur, Chhattisgarh",On-site,30000,1 Month,1,Pandas|NLP|Python|Deep Learning|Netlify|Computer Vision,958,3.6,12,2025-10-03,2025-12-03,"Exciting MLOps Intern opportunity at Chargebee in the Machine Learning domain. Work with cutting-edge technology in Raipur and gain hands-on experience with Pandas, NLP, Python.",36.6,23.7
7771,Freshdesk,🟢,AI Research Intern,AI Research,Mysore,Karnataka,"Mysore, Karnataka",On-site,15000,4 Months,4,Computer Vision|Python|Deep Learning|TensorFlow|Pinecone|GraphQL,948,4.1,1,2025-01-23,2025-03-23,"Exciting AI Research Intern opportunity at Freshdesk in the AI Research domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Computer Vision, Python, Deep Learning.",34.4,23.4
7772,Haptik,💙,Network Engineer Intern,Network Engineering,Kochi,Kerala,"Kochi, Kerala",Remote,6000,3 Months,3,Python|Cisco|Docker|Networking|SQLAlchemy|Hadoop,134,4.6,5,2025-03-27,2025-05-27,"Exciting Network Engineer Intern opportunity at Haptik in the Network Engineering domain. Work with cutting-edge technology in Kochi and gain hands-on experience with Python, Cisco, Docker.",35.5,33.6
7773,Niki.ai,🔵,SDET Intern,Quality Assurance,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",Remote,25000,3 Months,3,Python|Selenium|Jest|Pytest|Snowflake|Swift,367,3.9,6,2025-03-13,2025-05-13,"Exciting SDET Intern opportunity at Niki.ai in the Quality Assurance domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with Python, Selenium, Jest.",37.6,1.8
7774,Observe.AI,🟢,Strategy Intern,Product Management,Mangalore,Karnataka,"Mangalore, Karnataka",Remote,35000,4 Months,4,SQL|Tableau|Figma|Scrum|Netlify|SQLAlchemy,438,3.2,9,2025-01-07,2025-03-07,"Exciting Strategy Intern opportunity at Observe.AI in the Product Management domain. Work with cutting-edge technology in Mangalore and gain hands-on experience with SQL, Tableau, Figma.",39.3,26.6
7775,Yellow.ai,🟡,CI/CD Engineer Intern,DevOps,Pune,Maharashtra,"Pune, Maharashtra",Hybrid,25000,4 Months,4,Linux|Ansible|Terraform|Kubernetes|Databricks|Adobe XD,1123,4.5,10,2025-10-01,2025-12-01,"Exciting CI/CD Engineer Intern opportunity at Yellow.ai in the DevOps domain. Work with cutting-edge technology in Pune and gain hands-on experience with Linux, Ansible, Terraform.",39.7,-5.1
7776,Mindtickle,🔴,Cloud Engineer Intern,Cloud Computing,Mysore,Karnataka,"Mysore, Karnataka",Hybrid,5000,2 Months,2,Azure|GCP|Linux|Docker|Postman|ROS,743,3.3,8,2025-02-23,2025-04-23,"Exciting Cloud Engineer Intern opportunity at Mindtickle in the Cloud Computing domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Azure, GCP, Linux.",25.3,15.4
7777,LeadSquared,🟢,Quantum Research Intern,Quantum Computing,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",On-site,30000,4 Months,4,Qiskit|NumPy|Python|Linear Algebra|Computer Vision|Xamarin,478,3.7,22,2025-11-14,2025-12-14,"Exciting Quantum Research Intern opportunity at LeadSquared in the Quantum Computing domain. Work with cutting-edge technology in Indore and gain hands-on experience with Qiskit, NumPy, Python.",32.6,15.8
7778,Capillary Tech,🔷,DevOps Engineer Intern,DevOps,Gurgaon,Haryana,"Gurgaon, Haryana",Remote,25000,3 Months,3,CI/CD|AWS|Docker|Ansible|C++|Azure,1337,4.1,11,2025-07-24,2025-09-24,"Exciting DevOps Engineer Intern opportunity at Capillary Tech in the DevOps domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with CI/CD, AWS, Docker.",45.1,25.2
7779,Delhivery,🔴,NLP Engineer Intern,AI Research,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",On-site,45000,1 Month,1,NLP|PyTorch|Python|Deep Learning|Weaviate|Nginx,998,3.9,2,2025-03-18,2025-05-18,"Exciting NLP Engineer Intern opportunity at Delhivery in the AI Research domain. Work with cutting-edge technology in Noida and gain hands-on experience with NLP, PyTorch, Python.",43.1,-1.4
7780,Rivigo,🔵,ETL Developer Intern,Big Data Engineering,Surat,Gujarat,"Surat, Gujarat",Hybrid,50000,5 Months,5,Databricks|Airflow|SQL|Python|Power BI|Ansible,709,4.5,3,2025-07-03,2025-09-03,"Exciting ETL Developer Intern opportunity at Rivigo in the Big Data Engineering domain. Work with cutting-edge technology in Surat and gain hands-on experience with Databricks, Airflow, SQL.",46.3,3.8
7781,BlackBuck,🟢,Product Designer Intern,UI/UX Design,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,50000,5 Months,5,Material UI|HTML/CSS|Figma|JavaScript|Git|React,893,5.0,10,2025-05-04,2025-07-04,"Exciting Product Designer Intern opportunity at BlackBuck in the UI/UX Design domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with Material UI, HTML/CSS, Figma.",45.0,11.5
7782,Locus,🔵,Strategy Analyst Intern,Business Analytics,Bhubaneswar,Odisha,"Bhubaneswar, Odisha",Remote,20000,5 Months,5,Power BI|Pandas|Tableau|Python|Postman|Tailwind CSS,224,3.9,2,2025-03-15,2025-05-15,"Exciting Strategy Analyst Intern opportunity at Locus in the Business Analytics domain. Work with cutting-edge technology in Bhubaneswar and gain hands-on experience with Power BI, Pandas, Tableau.",35.3,-3.1
7783,Dunzo,🟢,Angular Developer Intern,Frontend Development,Hyderabad,Telangana,"Hyderabad, Telangana",Hybrid,40000,5 Months,5,JavaScript|Next.js|Tailwind CSS|Vue.js|MongoDB|React,509,3.9,3,2025-07-14,2025-09-14,"Exciting Angular Developer Intern opportunity at Dunzo in the Frontend Development domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with JavaScript, Next.js, Tailwind CSS.",37.8,0.0
7784,Rapido,🟡,Backend Developer Intern,Software Development,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",On-site,30000,1 Month,1,SQL|Git|Python|Java|Ionic|D3.js,897,4.2,3,2025-03-20,2025-05-20,"Exciting Backend Developer Intern opportunity at Rapido in the Software Development domain. Work with cutting-edge technology in Chennai and gain hands-on experience with SQL, Git, Python.",37.8,22.9
7785,Urban Company,🟢,Data Analyst Intern,Data Science,Mangalore,Karnataka,"Mangalore, Karnataka",Remote,45000,5 Months,5,Python|Pandas|Power BI|NumPy|MQTT|Kubernetes,2466,4.0,6,2025-04-22,2025-06-22,"Exciting Data Analyst Intern opportunity at Urban Company in the Data Science domain. Work with cutting-edge technology in Mangalore and gain hands-on experience with Python, Pandas, Power BI.",58.4,31.0
7786,Cars24,🔵,DBA Intern,Database Administration,Gurgaon,Haryana,"Gurgaon, Haryana",On-site,50000,5 Months,5,Redis|MongoDB|PostgreSQL|Elasticsearch|dbt|JavaScript,97,4.5,6,2025-06-11,2025-08-11,"Exciting DBA Intern opportunity at Cars24 in the Database Administration domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Redis, MongoDB, PostgreSQL.",39.1,-5.3
7787,CarDekho,🔴,Strategy Intern,Product Management,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh",On-site,10000,2 Months,2,JIRA|Figma|SQL|Agile|Ionic|Scikit-learn,1032,3.4,13,2025-09-12,2025-11-12,"Exciting Strategy Intern opportunity at CarDekho in the Product Management domain. Work with cutting-edge technology in Bhopal and gain hands-on experience with JIRA, Figma, SQL.",29.5,34.3
7788,Spinny,🟡,ML Engineer Intern,Machine Learning,Mysore,Karnataka,"Mysore, Karnataka",On-site,5000,3 Months,3,Python|PyTorch|Scikit-learn|Pandas|HTML/CSS|Arduino,495,3.7,6,2025-10-01,2025-12-01,"Exciting ML Engineer Intern opportunity at Spinny in the Machine Learning domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Python, PyTorch, Scikit-learn.",27.3,31.9
7789,Cuemath,🟣,Data Analyst Intern,Data Science,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Hybrid,70000,3 Months,3,Python|R|Tableau|Pandas|Plotly|Airflow,77,4.6,3,2025-05-07,2025-07-07,"Exciting Data Analyst Intern opportunity at Cuemath in the Data Science domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Python, R, Tableau.",48.4,34.0
7790,Eruditus,🔵,VLSI Design Intern,Embedded Systems,Jaipur,Rajasthan,"Jaipur, Rajasthan",Remote,25000,1 Month,1,C++|Python|MQTT|Arduino|Adobe XD|Ionic,789,3.8,2,2025-06-19,2025-08-19,"Exciting VLSI Design Intern opportunity at Eruditus in the Embedded Systems domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with C++, Python, MQTT.",38.9,-3.8
